溶剂C,溶剂D,溶剂E,Time,stability
CC1=CC=CC=C1,CCC1=CC=CC=C1=CC=C(C=CCC1=CC=CC=C1)CO,CCC1=CC=CC=C1CC(=O)OCCC1=CC=CC=C1,100,0
CC1=CC=CC=C1,CCC1=CC=CC=C1=CC=C(C=CCC1=CC=CC=C1)CO,CCC1=CC=CC=C1CC(=O)OCCC1=CC=CC=C1,150,0
CC1=CC=CC=C1,CCC1=CC=CC=C1=CC=C(C=CCC1=CC=CC=C1)CO,CCC1=CC=CC=C1CC(=O)OCCC1=CC=CC=C1,200,0
CC1=CC=CC=C1,CCO,CCC1=CC=CC=C1CC(=O)OCCC1=CC=CC=C1,50,0
CC1=CC=CC=C1,CCO,CCC1=CC=CC=C1CC(=O)OCCC1=CC=CC=C1,100,0
CC1=CC=CC=C1,CCO,CCC1=CC=CC=C1CC(=O)OCCC1=CC=CC=C1,150,0
CC1=CC=CC=C1,CCO,CCC1=CC=CC=C1CC(=O)OCCC1=CC=CC=C1,200,0
CC1=CC=CC=C1,CNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=O,CCC1=CC=CC=C1CC(=O)OCCC1=CC=CC=C1,50,1
CC1=CC=CC=C1,CNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=O,CCC1=CC=CC=C1CC(=O)OCCC1=CC=CC=C1,100,1
CC1=CC=CC=C1,CNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=O,CO,50,1
CC1=CC=CC=C1,CNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=O,CO,100,1
CC1=CC=CC=C1,CNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=O,CO,150,1
CCC1=CC=CC=C1=CC=C(C=CCC1=CC=CC=C1)CO,C(CO)O,CC1=CC=CC=C1,50,1
CCC1=CC=CC=C1=CC=C(C=CCC1=CC=CC=C1)CO,C(CO)O,CC1=CC=CC=C1,100,1
CCC1=CC=CC=C1=CC=C(C=CCC1=CC=CC=C1)CO,C(CO)O,CC1=CC=CC=C1,150,1
C(CO)O,CCCCN,CNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=O,50,0
C(CO)O,CCCCN,CNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=O,100,0
