SolventC_Smiles,SolventD_Smiles,SolventE_Smiles,Time,ratioA,ratioB,ratioC,ratioD,ratioE,classification
CC1=CC=CC=C1,C1=CC=C(C=C1)CO,C1CC(=O)OC1,150,0.6,0.32,0.1,0.1,0.2,0
CC1=CC=CC=C1,C1=CC=C(C=C1)CO,C1CC(=O)OC1,200,0.6,0.32,0.1,0.1,0.2,0
CC1=CC=CC=C1,CC(C)O,C1CC(=O)OC1,50,0.6,0.32,0.1,0.1,0.2,0
CC1=CC=CC=C1,CC(C)O,C1CC(=O)OC1,100,0.6,0.32,0.1,0.1,0.2,0
CC1=CC=CC=C1,CC(C)O,C1CC(=O)OC1,150,0.6,0.32,0.1,0.1,0.2,0
CC1=CC=CC=C1,CC(C)O,C1CC(=O)OC1,200,0.6,0.32,0.1,0.1,0.2,0
CCCCCC,CC(C)O,C1CC(=O)OC1,200,0.72,0.24,0.02,0.01,0.01,1
CCCCCC,CC(C)O,C1CC(=O)OC1,50,0.72,0.24,0.02,0.01,0.01,1
CCCCCC,CC(C)O,C1CC(=O)OC1,100,0.72,0.24,0.02,0.01,0.01,1
CCCCCC,CC(C)O,C1CC(=O)OC1,150,0.72,0.24,0.02,0.01,0.01,1
CC(C)O,C1CC(=O)OC1,CC(CO)O,200,0.72,0.24,0.02,0.01,0.01,1
CCO,C1CC(=O)OC1,CC(CO)O,50,0.72,0.24,0.02,0.01,0.01,1
CCO,C1CC(=O)OC1,CC(CO)O,100,0.72,0.24,0.02,0.01,0.01,1
CCO,C1CC(=O)OC1,CC(CO)O,150,0.72,0.24,0.02,0.01,0.01,1
CC#N,CC1=CC=CC=C1,CCCCCC,200,0.6,0.32,0.1,0.1,0.2,0
CO,CC(=O)C,CCCCCC,200,0.72,0.24,0.02,0.01,0.01,0
CO,CC(=O)C,CCCCCC,50,0.72,0.24,0.02,0.01,0.01,0
CO,CC(=O)C,CCCCCC,100,0.72,0.24,0.02,0.01,0.01,0
CO,CC(=O)C,CCCCCC,150,0.72,0.24,0.02,0.01,0.01,0
C1CC(=O)OC1,CN1CCCC1=O,CCCCCCCC,200,0.6,0.32,0.1,0.1,0.2,0
C1CC(=O)OC1,CN1CCCC1=O,CCCCCCCC,50,0.6,0.32,0.1,0.1,0.2,1
C1CC(=O)OC1,CN1CCCC1=O,CCCCCCCC,100,0.6,0.32,0.1,0.1,0.2,0
C1CC(=O)OC1,CN1CCCC1=O,CCCCCCCC,150,0.6,0.32,0.1,0.1,0.2,0
CC(=O)C,CC(=O)O,CCCCCCCC,200,0.72,0.24,0.02,0.01,0.01,1
CC(=O)C,CC(=O)O,CCCCCCCC,50,0.72,0.24,0.02,0.01,0.01,1
CC(=O)C,CC(=O)O,CCCCCCCC,100,0.72,0.24,0.02,0.01,0.01,1
CC(=O)C,CC(=O)O,CCCCCCCC,150,0.72,0.24,0.02,0.01,0.01,1
CC(CO)O,CCCCCC,CCCCCCCC,200,0.6,0.32,0.1,0.1,0.2,0
CC(CO)O,CCCCCC,CCCCCCCC,50,0.6,0.32,0.1,0.1,0.2,1
CC(CO)O,CCCCCC,CCCCCCCC,100,0.6,0.32,0.1,0.1,0.2,0
CC(CO)O,CCCCCC,CCCCCCCC,130,0.6,0.32,0.1,0.1,0.2,0
CCOC(=O)C,CO,CC(C)O,200,0.6,0.32,0.1,0.1,0.2,0
CCOC(=O)C,CO,CC(C)O,50,0.6,0.32,0.1,0.1,0.2,0
CCOC(=O)C,CO,CC(C)O,100,0.6,0.32,0.1,0.1,0.2,0
CCOC(=O)C,CO,CC(C)O,150,0.6,0.32,0.1,0.1,0.2,0
CCCCCCCC,CC#N,CC(C)O,200,0.72,0.24,0.02,0.01,0.01,1
CCCCCCCC,CC#N,CC(C)O,50,0.72,0.24,0.02,0.01,0.01,1
CCCCCCCC,CC#N,CC(C)O,100,0.72,0.24,0.02,0.01,0.01,1
CCCCCCCC,CC#N,CC(C)O,150,0.72,0.24,0.02,0.01,0.01,1
C1=CC=C(C(=C1)Cl)Cl,CC(CO)O,CCO,50,0.72,0.24,0.02,0.01,0.01,1
C1=CC=C(C(=C1)Cl)Cl,CC(CO)O,CCO,100,0.72,0.24,0.02,0.01,0.01,1
C1=CC=C(C(=C1)Cl)Cl,CC(CO)O,CCO,150,0.72,0.24,0.02,0.01,0.01,1
C1=CC=C(C(=C1)Cl)Cl,CC(CO)O,CCO,200,0.72,0.24,0.02,0.01,0.01,1
C1=CC=C(C=C1)CO,CC(=O)O,C1=CC=C(C(=C1)Cl)Cl,200,0.6,0.32,0.1,0.1,0.2,0
C1CC(=O)OC1,CC(=O)N(C)C,C1=CC=C(C(=C1)Cl)Cl,200,0.72,0.24,0.02,0.01,0.01,0
C1CC(=O)OC1,CC(=O)N(C)C,C1=CC=C(C(=C1)Cl)Cl,50,0.72,0.24,0.02,0.01,0.01,0
C1CC(=O)OC1,CC(=O)N(C)C,C1=CC=C(C(=C1)Cl)Cl,100,0.72,0.24,0.02,0.01,0.01,0
C1CC(=O)OC1,CC(=O)N(C)C,C1=CC=C(C(=C1)Cl)Cl,150,0.72,0.24,0.02,0.01,0.01,0
CC(C)O,CC1=CC=CC=C1,CC(=O)N(C)C,200,0.72,0.24,0.02,0.01,0.01,0
CC(C)O,CC1=CC=CC=C1,CC(=O)N(C)C,50,0.72,0.24,0.02,0.01,0.01,0
CC(C)O,CC1=CC=CC=C1,CC(=O)N(C)C,100,0.72,0.24,0.02,0.01,0.01,0
CC(C)O,CC1=CC=CC=C1,CC(=O)N(C)C,150,0.72,0.24,0.02,0.01,0.01,0
CC(=O)O,CCCCN,CC(=O)N(C)C,200,0.6,0.32,0.1,0.1,0.2,0
CCOC(=O)C,C1=CC=C(C=C1)CO,CCN(CC)CC,50,0.72,0.24,0.02,0.01,0.01,0
CO,CCOC(=O)C,CCN(CC)CC,200,0.6,0.32,0.1,0.1,0.2,0
CC1=CC=CC=C1,CN1CCCC1=O,CC(=O)C,200,0.6,0.32,0.1,0.1,0.2,1
CC1=CC=CC=C1,CN1CCCC1=O,CC(=O)C,50,0.6,0.32,0.1,0.1,0.2,1
CC1=CC=CC=C1,CN1CCCC1=O,CC(=O)C,100,0.6,0.32,0.1,0.1,0.2,1
CC1=CC=CC=C1,CN1CCCC1=O,CC(=O)C,150,0.6,0.32,0.1,0.1,0.2,1
CN1CCCC1=O,C1CC(=O)OC1,CC(=O)C,200,0.6,0.32,0.1,0.1,0.2,0
CN1CCCC1=O,C1CC(=O)OC1,CC(=O)C,160,0.6,0.32,0.1,0.1,0.2,0
CCCCN,CCO,CC(=O)C,200,0.72,0.24,0.02,0.01,0.01,1
CCCCN,CCO,CC(=O)C,50,0.72,0.24,0.02,0.01,0.01,1
CCCCN,CCO,CC(=O)C,100,0.72,0.24,0.02,0.01,0.01,1
CCCCN,CCO,CC(=O)C,150,0.72,0.24,0.02,0.01,0.01,1
CC(CO)O,CCN(CC)CC,C(CO)O,200,0.72,0.24,0.02,0.01,0.01,0
CC(CO)O,CCN(CC)CC,C(CO)O,50,0.72,0.24,0.02,0.01,0.01,0
CC(CO)O,CCN(CC)CC,C(CO)O,100,0.72,0.24,0.02,0.01,0.01,0
CC(CO)O,CCN(CC)CC,C(CO)O,150,0.72,0.24,0.02,0.01,0.01,0
