A nN,A Sse,A Mv,A Mpe,A ETA_dAlpha_B,A Bandgap,B Mare,B Mi,B ETA_dAlpha_B,B ETA_BetaP,B fragC,B HOMO,B Bandgap,Potential (v)
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,0.969142857,7.538865507,0.02121,1.2197,240.05,-4.197,1.737,0.4
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,0.969142857,7.538865507,0.02121,1.2197,240.05,-4.197,1.737,0.2789
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,0.969142857,7.538865507,0.02121,1.2197,240.05,-4.197,1.737,0.3925
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,0.969142857,7.538865507,0.02121,1.2197,240.05,-4.197,1.737,0.4218
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,0.969142857,7.538865507,0.02121,1.2197,240.05,-4.197,1.737,0.2748
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,1.016914286,7.480693345,0.02319,1.53261,119.07,-5.107,1.731,0.3068
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,1.016914286,7.480693345,0.02319,1.53261,119.07,-5.107,1.731,0.2905
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,1.016914286,7.480693345,0.02319,1.53261,119.07,-5.107,1.731,0.2922
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,1.016914286,7.480693345,0.02319,1.53261,119.07,-5.107,1.731,0.2797
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,1.016914286,7.480693345,0.02319,1.53261,119.07,-5.107,1.731,0.2916
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,1.045287356,7.456738791,0.02396,1.53125,1009.24,-5.04,0.21,0.1437
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,1.045287356,7.456738791,0.02396,1.53125,1009.24,-5.04,0.21,0.153
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,1.045287356,7.456738791,0.02396,1.53125,1009.24,-5.04,0.21,0.1575
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,1.045287356,7.456738791,0.02396,1.53125,1009.24,-5.04,0.21,0.1538
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,1.045287356,7.456738791,0.02396,1.53125,1009.24,-5.04,0.21,0.147
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,0.977795918,7.503000244,0.01954,1.5431,212.05,-4.704,1.346,0.3151
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,0.977795918,7.503000244,0.01954,1.5431,212.05,-4.704,1.346,0.3247
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,0.977795918,7.503000244,0.01954,1.5431,212.05,-4.704,1.346,0.3111
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,0.977795918,7.503000244,0.01954,1.5431,212.05,-4.704,1.346,0.3097
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,0.977795918,7.503000244,0.01954,1.5431,212.05,-4.704,1.346,0.3053
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,0.995911111,7.44761855,0.01852,1.39815,198.06,-5.511,3.471,-0.07248
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,0.995911111,7.44761855,0.01852,1.39815,198.06,-5.511,3.471,-0.05828
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,0.995911111,7.44761855,0.01852,1.39815,198.06,-5.511,3.471,0.003248
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,0.995911111,7.44761855,0.01852,1.39815,198.06,-5.511,3.471,0.01236
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,0.995911111,7.44761855,0.01852,1.39815,198.06,-5.511,3.471,-0.005475
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,1.012,7.496365714,0.02029,1.54348,531.14,-5.218,1.568,0.2195
