inorganic_formula_1_element_property_MagpieData avg_dev MeltingT,inorganic_formula_1_element_property_MagpieData mean Electronegativity,inorganic_formula_1_element_property_MagpieData avg_dev NValence,inorganic_formula_1_element_property_MagpieData avg_dev GSbandgap,inorganic_formula_2_element_property_MagpieData avg_dev Row,inorganic_formula_2_element_property_MagpieData mean NValence,inorganic_formula_2_element_property_MagpieData avg_dev GSvolume_pa,organic_data1_rdkit_12,organic_data1_rdkit_13,organic_data1_rdkit_14,organic_data1_rdkit_15,organic_data1_rdkit_20,organic_data1_rdkit_22,Potential (v)
596.0038889,2.55,4.611111111,2.554861111,1.055555556,5.666666667,7.702083333,5,1,-11,0,77,185,0
596.0038889,2.55,4.611111111,2.554861111,1.055555556,5.666666667,7.702083333,-123,14,-30,-71,0,0,1
584.0455556,2.466666667,6.833333333,2.833111111,1.555555556,7.833333333,11.11506944,49,10,69,7,0,0,0
584.0455556,2.466666667,6.833333333,2.833111111,1.555555556,7.833333333,11.11506944,121,19,-83,5,0,0,0
584.0455556,2.466666667,6.833333333,2.833111111,1.222222222,6.166666667,8.650364583,41,27,16,-79,0,0,0
584.0455556,2.466666667,6.833333333,2.833111111,1.222222222,6.166666667,8.650364583,-11,16,49,8,0,0,0
574.8858333,2.469166667,6.388888889,2.857027778,0.64,16,25.5552,-11,16,49,8,0,0,0
574.8858333,2.469166667,6.388888889,2.857027778,0.64,16,25.5552,69,8,-31,16,0,0,0
574.8858333,2.469166667,6.388888889,2.857027778,0.72,13.2,27.3068,49,10,69,7,0,0,0
574.8858333,2.469166667,6.388888889,2.857027778,0.72,13.2,27.3068,-11,16,49,8,0,0,0
568.1608333,2.419166667,6.388888889,2.933833333,0.48,16,24.4724,77,10,-87,13,0,0,0
568.1608333,2.419166667,6.388888889,2.933833333,0.48,16,24.4724,77,10,9,8,0,0,1
580.1191667,2.5025,4.166666667,2.655583333,1.12,14,28.1194,37,10,93,2,0,0,0
580.1191667,2.5025,4.166666667,2.655583333,1.12,14,28.1194,-123,14,-30,-71,0,0,0
582.7358333,2.519166667,3.194444444,2.554861111,1.555555556,7.833333333,11.11506944,17,5,21,20,0,0,0
582.7358333,2.519166667,3.194444444,2.554861111,1.555555556,7.833333333,11.11506944,-11,16,49,8,0,0,0
589.2969444,2.655833333,3.194444444,2.656555556,1.611111111,7,14.24486111,5,1,-11,0,77,185,1
589.2969444,2.655833333,3.194444444,2.656555556,1.611111111,7,14.24486111,77,10,-87,13,0,0,0
564.7983333,2.394166667,6.388888889,2.972236111,0.48,16,24.4724,62,-107,3,-66,74,54,0
564.7983333,2.394166667,6.388888889,2.972236111,0.48,16,24.4724,37,10,93,2,0,0,0
