,A nN,A Si,A Mv,A Mse,A ETA_dAlpha_B,A Bandgap,B Mpe,B Mi,B ETA_dAlpha_B,B ETA_BetaP,B fragC,B HOMO,B Bandgap,Potential (v)
38,8,406.6477437,0.633314003,0.999230442,0.02759,1.777,0.966946779,7.503311577,0.02222,1.29167,232.04,-4.695,2.259,0.295
39,8,406.6477437,0.633314003,0.999230442,0.02759,1.777,0.966946779,7.503311577,0.02222,1.29167,232.04,-4.695,2.259,0.292
40,8,406.6477437,0.633314003,0.999230442,0.02759,1.777,0.977591036,7.591437896,0.03167,1.4375,61.05,-4.629,1.952,0.2882
41,8,406.6477437,0.633314003,0.999230442,0.02759,1.777,0.977591036,7.591437896,0.03167,1.4375,61.05,-4.629,1.952,0.2885
42,8,406.6477437,0.633314003,0.999230442,0.02759,1.777,0.977591036,7.591437896,0.03167,1.4375,61.05,-4.629,1.952,0.2867
43,8,406.6477437,0.633314003,0.999230442,0.02759,1.777,0.977591036,7.591437896,0.03167,1.4375,61.05,-4.629,1.952,0.2864
44,8,406.6477437,0.633314003,0.999230442,0.02759,1.777,0.977591036,7.591437896,0.03167,1.4375,61.05,-4.629,1.952,0.2828
45,8,406.6477437,0.633314003,0.999230442,0.02759,1.777,0.957360722,7.538865507,0.02121,1.2197,240.05,-4.197,1.737,0.4
46,8,406.6477437,0.633314003,0.999230442,0.02759,1.777,0.957360722,7.538865507,0.02121,1.2197,240.05,-4.197,1.737,0.2789
47,8,406.6477437,0.633314003,0.999230442,0.02759,1.777,0.957360722,7.538865507,0.02121,1.2197,240.05,-4.197,1.737,0.3925
48,8,406.6477437,0.633314003,0.999230442,0.02759,1.777,0.957360722,7.538865507,0.02121,1.2197,240.05,-4.197,1.737,0.4218
49,8,406.6477437,0.633314003,0.999230442,0.02759,1.777,0.957360722,7.538865507,0.02121,1.2197,240.05,-4.197,1.737,0.2748
50,8,406.6477437,0.633314003,0.999230442,0.02759,1.777,1.004145658,7.480693345,0.02319,1.53261,119.07,-5.107,1.731,0.3068
51,8,406.6477437,0.633314003,0.999230442,0.02759,1.777,1.004145658,7.480693345,0.02319,1.53261,119.07,-5.107,1.731,0.2905
52,8,406.6477437,0.633314003,0.999230442,0.02759,1.777,1.004145658,7.480693345,0.02319,1.53261,119.07,-5.107,1.731,0.2922
53,8,406.6477437,0.633314003,0.999230442,0.02759,1.777,1.004145658,7.480693345,0.02319,1.53261,119.07,-5.107,1.731,0.2797
